Date,Opponent,Inning,Team,left_for_snacks,missed_anything
4/17/2026,SpaceCowboys,1,SpaceCowboys,TRUE,TRUE
4/17/2026,SpaceCowboys,1,Bees,FALSE,FALSE
4/17/2026,SpaceCowboys,2,SpaceCowboys,TRUE,FALSE
4/17/2026,SpaceCowboys,2,Bees,FALSE,FALSE
4/17/2026,SpaceCowboys,3,SpaceCowboys,FALSE,FALSE
4/17/2026,SpaceCowboys,3,Bees,FALSE,FALSE
4/17/2026,SpaceCowboys,4,SpaceCowboys,FALSE,FALSE
4/17/2026,SpaceCowboys,4,Bees,FALSE,FALSE
4/17/2026,SpaceCowboys,5,SpaceCowboys,TRUE,FALSE
4/17/2026,SpaceCowboys,5,Bees,FALSE,FALSE
4/17/2026,SpaceCowboys,6,SpaceCowboys,FALSE,FALSE
4/17/2026,SpaceCowboys,6,Bees,FALSE,FALSE
4/17/2026,SpaceCowboys,7,SpaceCowboys,FALSE,FALSE
4/17/2026,SpaceCowboys,7,Bees,FALSE,FALSE
4/17/2026,SpaceCowboys,8,SpaceCowboys,FALSE,FALSE
4/17/2026,SpaceCowboys,8,Bees,TRUE,FALSE
4/17/2026,SpaceCowboys,9,SpaceCowboys,TRUE,FALSE
4/17/2026,SpaceCowboys,9,Bees,TRUE,TRUE